Index,English,Arabic
4341,suffix tree,شجرة اللاحقة
4342,summarization,التلخيص
4343,summarization algorithm,خوارزمية التلخيص
4344,summarization model,نموذج التلخيص
4345,summarization system,نظام التلخيص
4346,super-pixel,البكسل الفائق
4347,super-resolution,الدقة الفائقة
4348,supergradient,تدرج فائق
4349,supertag,الوسم الفائق
4350,supervised classification,التصنيف الخاضع للإشراف
4351,supervised classification model,نموذج التصنيف الخاضع للإشراف
4352,supervised classifier,مصنّف مُراقَب
4353,supervised contrastive learning,التعلم التبايني تحت الإشراف
4354,supervised datum,البيانات الخاضعة للإشراف
4355,supervised finetuning,الضبط الدقيق الخاضع للإشراف
4356,supervised learning,تعُّلم موَّجه
4357,supervised manner,بطريقة خاضعة للإشراف
4358,supervised method,طريقة خاضعة للإشراف
4359,supervised model,نموذج خاضع للإشراف
4360,supervised multi-task learning,التعلم متعدد المهام الخاضع للإشراف
4361,supervised setting,الإعداد الخاضع للإشراف
4362,supervised system,نظام خاضع للإشراف
4363,supervised training,التدريب تحت الإشراف
4364,support,الدعم
4365,support set,مجموعة الدعم
4366,support threshold,عتبة الدعم
4367,support vector,متجه الدعم
4368,support vector machine,آلة الُمَّتجهات الداعمة
4369,surface normal,المتجه العمودي على السطح
4370,surface normal estimator,مقدر المتجه العمودي على السطح
4371,surface normal prediction,تنبؤ الناظم السطحي
4372,surface realization,تحقيق السطح
4373,surrogate,بديل
4374,surrogate function,دالة بديلة
4375,surrogate loss,الخسارة البديلة
4376,surrogate loss function,دالة الخسارة البديلة
4377,surrogate model,نموذج بديل
4378,swarm intelligence,ذكاء السرب
4379,symbol grounding problem,مشكلة تأسيس الرموز
4380,symbolic representation,التمثيل الرمزي
4381,symmetric matrix,مصفوفة متماثلة
4382,symmetric positive semidefinite matrix,مصفوفة متماثلة موجبة شبه محددة
4383,symmetrization,التناظر
4384,synchronous context-free grammar,قواعد نحوية حرة السياق متزامنة
4385,synonymy,الترادف
4386,synset,مجموعة مترادفات
4387,syntactic analysis,التحليل النحوي
4388,syntactic category,الفئة النحوية
4389,syntactic constraint,القيود النحوية
4390,syntactic dependency,التبعية النحوية
4391,syntactic dependency parsing,تحليل التبعية النحوية
4392,syntactic dependency tree,شجرة التبعيات النحوية
4393,syntactic feature,الميزة النحوية
4394,syntactic information,المعلومات النحوية
4395,syntactic parse,التحليل النحوي
4396,syntactic parser,المحلل النحوي
4397,syntactic regularity,الانتظام النحوي
4398,syntactic representation,التمثيل النحوي
4399,syntactic similarity,التشابه النحوي
4400,syntactic structure,البنية النحوية
4401,syntactic tree,الشجرة النحوية
4402,syntax tree,شجرة بناء الجملة
4403,synthetic dataset,مجموعة بيانات اصطناعية
4404,system identification,تحديد النظام
4405,t-test,اختبار t
4406,tag recommendation,توصية بالوسوم
4407,tag sequence,تسلسل العلامات
4408,tagger,مُعَلِّم
4409,tagset,مجموعة العلامات
4410,tail entity,كيان الذيل
4411,tangent space,فضاء المماس
4412,tanh activation function,دالة التفعيل tanh
4413,target,الهدف
4414,target classifier,المصنف المستهدف
4415,target distribution,التوزيع المستهدف
4416,target domain,النطاق المستهدف
4417,target function,الدالة المستهدفة
4418,target instance,مثيل الهدف
4419,target model,النموذج المستهدف
4420,target network,الشبكة المستهدفة
4421,target node,العقدة المستهدفة
4422,target policy,السياسة المستهدفة
4423,target sentence,الجملة الهدف
4424,target sequence,تسلسل الهدف
4425,target task,المهمة المستهدفة
4426,target token,الرمز المستهدف
4427,target variable,المتغير الهدف
4428,target vector,المتجه المستهدف
4429,target vocabulary,المفردات المستهدفة
4430,target word,كلمة الهدف
4431,target-to-source model,نموذج من الهدف إلى المصدر
4432,task adaptation,تكييف المهمة
4433,task model,نموذج المهمة
4434,task-oriented dialog system,نظام الحوار الموجه للمهام
4435,task-oriented dialogue system,نظام الحوار الموجه نحو المهام
4436,task-specific model,نموذج خاص بالمهمة
4437,taxonomy,التصنيف
4438,teacher forcing,التعليم القسري
4439,teacher network,شبكة المعلم
4440,temperature parameter,معلمة درجة الحرارة
4441,temperature scaling,تحجيم درجة الحرارة
4442,template,قالب
4443,template model,نموذج القالب
4444,template-matching,مطابقة القالب
4445,temporal derivative,المشتقة الزمنية
4446,temporal difference,الفرق الزمني
4447,temporal difference learning,التعلم بالفرق الزمني
4448,temporal drift,الانجراف الزمني
4449,temporal fusion,الانصهار الزمني
4450,temporal locality,محلية زمنية
4451,temporal logic,المنطق الزمني
4452,temporal reasoning,استدلال زمني
4453,temporal variable,متغير زمني
4454,tensor,تينسر
4455,tensor decomposition,تحلل الموتر
4456,tensor factorization,تحليل الموتر
4457,tensor field,حقل التنسور
4458,tensor product,حاصل الضرب التنسوري
4459,term frequency,تردد المصطلح
4460,terminal node,العقدة الطرفية
4461,terminal state,الحالة النهائية
4462,termination condition,شرط الإنهاء
4463,termination criterion,معيار الإنهاء
4464,terminology,مصطلح
4465,test accuracy,دقة الاختبار
4466,test dataset,بيانات الاختبار
4467,test datum,بيانات الاختبار
4468,test domain,نطاق الاختبار
4469,test error,خطأ الاختبار
4470,test loss,خسارة الاختبار
4471,test set,مجموعة الاختبار
4472,test split,تقسيم الاختبار
4473,test time,وقت الاختبار
4474,testing set,مجموعة الاختبار
4475,text categorization,تصنيف النصوص
4476,text corpus,مجموعة نصوص
4477,text embedding,تضمين النص
4478,text encoder,مشفر النص
4479,text generation,توليد النصوص
4480,text generation model,نموذج توليد النصوص
4481,text mining,تنقيب النصوص
4482,text segmentation,تجزئة النص
4483,text simplification,تبسيط النص
4484,text tokenization,تقسيم النص
4485,text-davinci-002,text-davinci-002
4486,text-davinci-003,text-davinci-003
4487,text-to-image diffusion model,نموذج انتشار النص إلى الصورة
4488,text-to-image generation,توليد الصور من النص
4489,text-to-image model,نموذج النص إلى صورة
4490,text-to-image synthesis,تخليق الصور من النص
4491,textual entailment,الاستدلال النصي
4492,tf-idf,الـ tf-idf
4493,threat model,نموذج التهديد
4494,threshold,عتبة
4495,threshold function,دالة العتبة
4496,threshold parameter,معلمة العتبة
4497,threshold policy,سياسة العتبة
4498,time complexity,التعقيد الزمني
4499,time series,السلاسل الزمنية
4500,time series analysis,تحليل السلاسل الزمنية
4501,time series forecasting,التنبؤ بالسلاسل الزمنية
