,English,French
5759,slot,emplacement
5760,slot filling,remplissage de slot
5761,slot value,valeur de slot
5762,slot-value pair,paire slot-valeur
5763,slow feature analysis,analyse des caractéristiques lentes
5764,small data,petites données
5765,smart clothing,habillement intelligent
5766,smart data,données intelligentes
5767,smart personalization,personnalisation intelligente
5768,smart robot,robot intelligent
5769,smoothing parameter,paramètre de lissage
5770,smoothness prior,a priori régulier
5771,smoothness term,terme de régularisation
5772,snowball sampling,échantillonnage en boule de neige
5773,social,sociaux
5774,social bias,biais social
5775,social media mining,exploration de médias sociaux
5776,social network analysis,analyse des réseaux sociaux
5777,soft biometrics,biométrie douce
5778,soft margin,marge douce
5779,softmax,fonction exponentielle normalisée
5780,softmax activation,activation softmax
5781,softmax activation function,fonction d'activation softmax
5782,softmax classifier,classificateur softmax
5783,softmax distribution,distribution softmax
5784,softmax function,fonction softmax
5785,softmax loss,perte softmax
5786,softplus,softplus
5787,softplus activation,activation softplus
5788,softplus function,fonction softplus
5789,software as a service,logiciel en tant que service
5790,software bot,robot logiciel
5791,solution space,espace de solutions
5792,solver,solveur
5793,song recognition,identification de chansons
5794,source,source
5795,source domain,domaine source
5796,source model,modèle source
5797,source node,nœud source
5798,source sequence,séquence source
5799,source token,jeton source
5800,source word,mot source
5801,space carving,carving spatial
5802,space complexity,complexité spatiale
5803,space partitioning,partitionnement de l'espace
5804,spam detection,détection de spam
5805,spam filtering,filtrage de spam
5806,span,portée
5807,spans,étendage
853,sparse,Clairsemé
5808,sparse approximation,approximation parcimonieuse
5809,sparse attention,attention sparse
5810,sparse attention pattern,schéma d'attention parcimonieuse
5811,sparse auto encoder,autoencodeurs peu denses
5812,sparse coding,codage parcimonieux
5813,sparse data,données disséminées
5814,sparse feature,caractéristique creuse
5815,sparse graph,graphe épars
5816,sparse matrix,matrice clairsemée
5817,sparse model,modèle épars
5818,sparse principal component analysis,ACP éparse
5819,sparse recovery,récupération sparse
5820,sparse representation,représentation creuse
5821,sparse sampling,échantillonnage sparse
5822,sparse vector,vecteur sparse
5823,sparsification,sparsification
5824,sparsity,parcimonie
5825,sparsity level,niveau de sparsité
5826,sparsity regularization,régularisation de la sparsité
5827,spatial,spatial
5828,spatial analysis,analyse spatiale
5829,spatial association rule,règle d'association spatiale
5830,spatial autocorrelation,autocorrélation spatiale
5831,spatial dependence,dépendance spatiale
5832,spatial domain,domaine spatial
5833,spatial gradient,gradient spatial
5834,spatial heterogeneity,hétérogénéité spatiale
5835,spatial interpolation,interpolation spatiale
5836,spatial pooling,pooling spatial
5837,spatial pyramid,pyramide spatiale
5838,spatial sampling,échantillonnage spatial
5839,spatial transformer network,réseau de transformateurs spatiaux
5840,spatial weight matrix,matrice d'interactions spatiales
5841,spatial–temporal reasoning,raisonnement spatio-temporel
5842,spatiotemporal data,données spatio-temporelles
5843,special token,jeton spécial
5844,spectral algorithm,algorithme spectral
5845,spectral clustering,partitionnement spectral
5846,spectral decomposition,décomposition spectrale
5847,spectral embedding,incorporation spectrale
5848,spectral function,fonction spectrale
5849,spectral gap,écart spectral
5850,spectral learning,apprentissage spectral
5851,spectral matching,correspondance spectrale
5852,spectral method,méthode spectrale
5853,spectral norm,norme spectrale
5854,spectral property,propriété spectrale
5855,spectral weight function,fonction de pondération spectrale
5856,spectrogram,spectrogramme
5857,specular,spéculaire
5858,speech,dicours
5859,speech recognition,reconnaissance de la parole
5860,speech recognizer,reconnaisseur de la parole
5861,speech synthesis,synthèse de la parole
5862,speech synthesis markup language,langage de balisage de synthèse vocale
5863,speech synthesis model,modèle de synthèse vocale
5864,speech synthesis system,système de synthèse vocale
5865,speech synthesizer,synthétiseur de la parole
5866,speech-to-speech translation,traduction parole à parole
5867,speech-to-text,génération voix-vers-texte
5868,spiking neuron,neurone impulsionnel
5869,spiking neuron network,réseau de neurones impulsionnels
5870,spoken,parlé
5871,spoken dialogue system,système de dialogue oral
5872,spurious correlation,corrélation spurious
5873,squared Euclidean distance,distance euclidienne au carré
5874,squared error loss,perte d'erreur au carré
5875,squared hinge loss,marge maximale quadratique
5876,squared loss,perte quadratique
5877,stable diffusion,diffusion latente
5878,stable model,modèle stable
5879,stable model semantic,sémantique du modèle stable
5880,stacking,empilement de modèles
5881,staircase method,méthode d'estimation par accroissement ou diminution
5882,stance detection,détection de posture
5883,standard deviation,écart type
5884,standard error,erreur type
5885,standard normal distribution,distribution normale standard
5886,standardised maximum likelihood estimator,normalisé estimateur du maximum de vraisemblance
5887,start token,jeton de départ
5888,state,état
5889,state action pair,paire état-action
5890,state distribution,distribution d'état
5891,state estimation,estimation d'état
5892,state machine,machine à états
5893,state matrix,matrice d'état
5894,state of the art algorithm,algorithme à la pointe de la technologie
5895,state representation,représentation d'état
5896,state sequence,séquence d'état
5897,state space,espace d'états
5898,state trajectory,trajectoire d'état
5899,state transition,transition d'état
5900,state transition function,fonction de transition d'état
5901,state transition matrix,matrice de transition d'état
5902,state transition model,modèle de transition d'état
5903,state transition probability,probabilité de transition d'état
5904,state value function,fonction de valeur d'état
5905,state variable,variable d'état
5906,state vector,vecteur d'état
5907,state-action distribution,distribution état-action
5908,state-action space,espace état-action
5909,state-action value,valeur état-action
5910,state-action value function,fonction de valeur état-action
5911,state-of-the-art baseline,référence de pointe
5912,state-of-the-art method,méthode à la pointe de la technologie
5913,state-of-the-art model,modèle à la pointe de la technologie
5914,state-of-the-art system,système à la pointe de la technologie
5915,state-space search,recherche dans l'espace d'états
5916,stateful,avec état
5917,static analysis,analyse statique
5918,static evaluation function,fonction d'évaluation statique
5919,static model,modèle statique
5920,stationarity,stationnarité
5921,stationary distribution,distribution stationnaire
5922,stationary kernel,noyau stationnaire
5923,stationary policy,politique stationnaire
5924,stationary process,processus stationnaire
5925,statistic,statistique
5926,statistical,statistique
5927,statistical analysis,analyse statistique
5928,statistical approach,approche statistique
5929,statistical classification,classification statistique
5930,statistical classification problem,problème de classification statistique
5931,statistical distance,distance statistique
5932,statistical independence,indépendance
5933,statistical inference,induction statistique
5934,statistical learning,apprentissage statistique
5935,statistical learning algorithm,algorithme d'apprentissage statistique
5936,statistical learning theory,théorie de l'apprentissage statistique
5937,statistical machine translation system,système de traduction automatique statistique
5938,statistical measure,mesure statistique
